fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1839358,Phatladz,Takeaway/sandwich shop,4,2025-06-18,False,Manchester,M22 4FY,4,,2025,6,M22,Good
1789241,Phatladz,Restaurant/Cafe/Canteen,4,2024-09-23,False,Manchester,M12 4QA,4,,2024,9,M12,Good
1820897,Phetpailin Thai Cuisine,Restaurant/Cafe/Canteen,4,2025-04-19,False,Manchester,M1 4HF,4,,2025,4,M1,Good
1820727,Philpotts,Restaurant/Cafe/Canteen,5,2024-09-09,False,Manchester,M1 4PY,5,,2024,9,M1,Excellent
1817800,Pho,Restaurant/Cafe/Canteen,5,2025-07-28,False,Manchester,M4 3TR,5,,2025,7,M4,Excellent
1819019,Pho Cue Vietnamese Kitchen,Restaurant/Cafe/Canteen,5,2023-01-02,False,Manchester,M1 4FH,5,,2023,1,M1,Excellent
1820659,Pho No 1,Restaurant/Cafe/Canteen,5,2023-03-30,False,Manchester,M4 6BG,5,,2023,3,M4,Excellent
1839341,Piccadilly Central,Pub/bar/nightclub,5,2025-05-05,False,Manchester,M1 2PF,5,,2025,5,M1,Excellent
1822101,Piccadilly Plaza Post Office,Retailers - other,AwaitingInspection,,False,Manchester,M1 4AL,,AwaitingInspection,,,M1,Unknown
1820446,Piccadilly Sweetcorn,Mobile caterer,4,2024-03-24,False,Manchester,M1 2WD,4,,2024,3,M1,Good
1817767,Piccadilly Tap,Restaurant/Cafe/Canteen,5,2021-08-24,False,Manchester,M1 2GH,5,,2021,8,M1,Excellent
1818503,Piccolino,Restaurant/Cafe/Canteen,5,2024-04-27,False,Manchester,M20 2WS,5,,2024,4,M20,Excellent
1817035,Piccolino Caffé Grande,Restaurant/Cafe/Canteen,5,2025-12-01,False,Manchester,M2 4DW,5,,2025,12,M2,Excellent
1821436,Pico de Gallo,Restaurant/Cafe/Canteen,5,2023-09-10,False,Manchester,M20 2LW,5,,2023,9,M20,Excellent
1894624,Pico's Burritos,Mobile caterer,5,2025-10-22,False,Manchester,M15 6BH,5,,2025,10,M15,Excellent
1820706,Pico's Tacos,Restaurant/Cafe/Canteen,5,2023-11-09,False,Manchester,M4 5BU,5,,2023,11,M4,Excellent
1943734,PieMen,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
